Time_ms,Angle,PWM_us,Thrust_g,Voltage_V,Current_A,Power_W,Temp_C
5640,90,1500,-0.21,12.98,-0.39,-5.08,39.45
5910,90,1500,0.29,12.98,-0.40,-5.14,39.45
6180,90,1500,-0.13,12.98,-0.41,-5.29,39.45
6452,90,1500,-0.10,12.98,-0.40,-5.23,39.45
6722,90,1500,-0.07,12.98,-0.40,-5.18,39.45
6993,90,1500,-0.00,12.98,-0.41,-5.33,39.45
7264,90,1500,-0.30,12.98,-0.41,-5.36,39.45
7535,90,1500,0.23,12.98,-0.42,-5.40,39.43
7805,90,1500,-0.06,12.98,-0.43,-5.52,39.43
8077,90,1500,-0.23,12.98,-0.43,-5.63,39.44
8347,90,1500,-0.49,12.98,-0.44,-5.73,39.44
8619,90,1500,0.49,12.98,-0.45,-5.82,39.42
8889,90,1500,-0.32,12.98,-0.45,-5.81,39.41
9160,90,1500,-0.11,12.98,-0.46,-5.99,39.40
9431,90,1500,-0.27,12.98,-0.47,-6.05,39.39
9702,90,1500,0.10,12.98,-0.46,-6.02,39.39
9972,90,1500,-0.18,12.98,-0.47,-6.08,39.38
10243,90,1500,-0.01,12.98,-0.46,-5.94,39.37
10514,90,1500,-0.01,12.98,-0.46,-5.92,39.36
10784,90,1500,-0.65,12.98,-0.45,-5.89,39.36
11056,90,1500,0.34,12.98,-0.47,-6.06,39.35
11326,90,1500,0.20,12.98,-0.46,-6.02,39.35
11597,90,1500,-0.63,12.98,-0.45,-5.89,39.35
11868,90,1500,0.02,12.98,-0.45,-5.87,39.34
12139,90,1500,0.13,12.98,-0.45,-5.85,39.34
12409,90,1500,-0.19,12.98,-0.44,-5.74,39.34
12681,90,1500,-0.13,12.98,-0.45,-5.83,39.33
12951,90,1500,0.02,12.98,-0.45,-5.81,39.32
13222,90,1500,-0.23,12.98,-0.44,-5.71,39.30
13493,90,1500,-0.16,12.98,-0.44,-5.70,39.29
13764,90,1500,0.07,12.98,-0.45,-5.89,39.28
14034,90,1500,0.16,12.98,-0.46,-5.97,39.28
14306,90,1500,1.60,12.98,-0.46,-5.94,39.27
14576,90,1500,1.02,12.98,-0.46,-5.91,39.26
14848,90,1500,-0.79,12.98,-0.45,-5.89,39.25
15118,90,1500,-0.20,12.98,-0.46,-5.96,39.24
15388,90,1500,-0.11,12.98,-0.46,-5.94,39.24
15660,90,1500,-0.36,12.98,-0.46,-5.91,39.23
15930,90,1500,-0.11,12.98,-0.45,-5.89,39.23
16201,90,1500,-0.09,12.98,-0.46,-5.96,39.22
16472,90,1500,0.02,12.97,-0.46,-5.93,39.22
16743,90,1500,-0.41,12.98,-0.46,-5.91,39.21
17013,90,1500,-0.12,12.98,-0.45,-5.79,39.21
17285,90,1500,-0.06,12.98,-0.45,-5.87,39.20
17555,90,1500,-0.14,12.98,-0.44,-5.76,39.20
17826,90,1500,-0.30,12.98,-0.46,-5.94,39.20
18097,90,1500,2.04,12.97,-0.44,-5.72,39.18
18368,90,1500,-0.47,12.97,-0.44,-5.72,39.18
18638,90,1500,-0.89,12.97,-0.45,-5.81,39.18
18910,90,1500,0.16,12.98,-0.45,-5.80,39.17
19180,90,1500,-0.11,12.98,-0.45,-5.88,39.15
19451,90,1500,-0.56,12.98,-0.45,-5.86,39.14
19722,90,1500,-0.16,12.98,-0.46,-5.94,39.13
19993,90,1500,0.12,12.98,-0.46,-5.91,39.12
20263,90,1500,-0.39,12.98,-0.47,-6.08,39.11
20534,90,1500,-0.11,12.98,-0.47,-6.14,39.11
20805,90,1500,-0.16,12.98,-0.47,-6.09,39.10
21075,90,1500,-0.11,12.98,-0.47,-6.05,39.09
21347,90,1500,-0.48,12.98,-0.46,-6.01,39.09
21617,90,1500,2.69,12.98,-0.45,-5.88,39.08
21889,90,1500,-1.20,12.98,-0.45,-5.86,39.08
22159,90,1500,-0.87,12.98,-0.46,-5.94,39.07
22430,90,1500,0.47,12.98,-0.47,-6.11,39.07
22701,90,1500,-0.57,12.98,-0.47,-6.06,39.07
22972,90,1500,-0.27,12.98,-0.47,-6.12,39.06
23242,90,1500,-0.28,12.98,-0.47,-6.08,39.06
23513,90,1500,0.29,12.98,-0.47,-6.13,39.06
23784,90,1500,-0.68,12.98,-0.48,-6.18,39.04
24054,90,1500,-0.00,12.98,-0.47,-6.13,39.03
24326,90,1500,-0.06,12.98,-0.48,-6.18,39.02
24596,90,1500,-0.58,12.98,-0.48,-6.23,39.00
24867,90,1500,-0.22,12.98,-0.48,-6.27,38.99
25138,90,1500,-0.18,12.98,-0.48,-6.21,38.98
25409,90,1500,-0.39,12.98,-0.47,-6.16,38.98
25679,90,1500,-0.62,12.98,-0.47,-6.11,38.97
25951,90,1500,0.33,12.98,-0.47,-6.16,38.96
26221,90,1500,-0.35,12.98,-0.48,-6.21,38.96
26492,90,1500,-0.47,12.98,-0.48,-6.25,38.95
26763,90,1500,0.15,12.98,-0.48,-6.20,38.94
27034,90,1500,-0.56,12.98,-0.47,-6.14,38.94
27304,90,1500,-0.13,12.98,-0.47,-6.10,38.94
